name,isPoly,callsPoly,nsends,loc
apache-directorystudio_r817075_20090920-IValue-isBinary, true, false, 0, 0
apache-directorystudio_r817075_20090920-EmptyValue-isString, true, false, 0, 0
apache-directorystudio_r817075_20090920-LdapFilterParserTest-testExtensibleFilterRFC4515_4, false, false, 7, 6
apache-directorystudio_r817075_20090920-LdifContainer-getParts, false, false, 2, 3
apache-directorystudio_r817075_20090920-LdifChangeRecord-getControls, false, false, 7, 12
apache-directorystudio_r817075_20090920-LdifValueLineBase-getValueAsObject, false, false, 11, 29
apache-directorystudio_r817075_20090920-LdifDeloldrdnLine-getUnfoldedDeleteOldrdn, false, false, 1, 3
apache-directorystudio_r817075_20090920-DummyLdifContainer-isValid, true, false, 0, 3
apache-directorystudio_r817075_20090920-ObjectClassEditorOverviewPage-refreshUI, false, false, 3, 5
apache-directorystudio_r817075_20090920-Activator-getSchemaHandler, false, false, 0, 3
apache-directorystudio_r817075_20090920-SchemaHandlerAdapter-syntaxRemoved, true, false, 0, 2
apache-directorystudio_r817075_20090920-SchemaAdapter-attributeTypeModified, true, false, 0, 2
apache-directorystudio_r817075_20090920-AttributeTypeImpl-setNames, false, false, 1, 3
apache-directorystudio_r817075_20090920-ObjectClassImpl-getSchemaObject, false, false, 0, 3
apache-directorystudio_r817075_20090920-NonExistingAttributeType-getDisplayName, false, false, 1, 10
apache-directorystudio_r817075_20090920-ConnectionUpdateListener-connectionFolderModified, true, false, 0, 0
apache-directorystudio_r817075_20090920-LdifSearchLogger-logChangetypeDelete, true, false, 0, 3
apache-directorystudio_r817075_20090920-StudioTrustManager-checkClientTrusted, false, false, 1, 3
apache-directorystudio_r817075_20090920-InterceptorsMasterDetailsBlock-createToolBarActions, false, false, 9, 32
apache-directorystudio_r817075_20090920-ApacheDSConfigurationContentDescriber-describe, false, false, 1, 10
apache-directorystudio_r817075_20090920-ServerConfigurationV151-addPartition, false, false, 1, 3
apache-directorystudio_r817075_20090920-Partition-addIndexedAttribute, false, false, 1, 3
apache-directorystudio_r817075_20090920-Interceptor-setName, false, false, 0, 3
apache-directorystudio_r817075_20090920-IValueEditor-getDisplayValue, true, false, 0, 0
apache-directorystudio_r817075_20090920-TextValueEditor-TextValueEditor, false, false, 0, 0
apache-directorystudio_r817075_20090920-NewProjectAction-init, false, false, 0, 3
apache-directorystudio_r817075_20090920-NewObjectClassAction-init, false, false, 0, 3
apache-directorystudio_r817075_20090920-OpenTypeHierarchyAction-openTypeHierarchy, false, false, 16, 26
apache-directorystudio_r817075_20090920-ATESuperiorComboContentProvider-dispose, false, false, 0, 2
apache-directorystudio_r817075_20090920-ATESyntaxComboContentProvider-inputChanged, false, false, 0, 2
apache-directorystudio_r817075_20090920-9-widgetSelected, false, false, 2, 3
apache-directorystudio_r817075_20090920-SchemaViewContentProvider-schemaAdded, false, false, 3, 11
apache-directorystudio_r817075_20090920-AliasesStringParserTest-testNoAlias, false, false, 5, 7
apache-directorystudio_r817075_20090920-NewBookmarkWizard-performFinish, false, true, 8, 11
apache-directorystudio_r817075_20090920-BatchOperationModifyWizardPage-BatchOperationModifyWizardPage, false, false, 4, 9
apache-directorystudio_r817075_20090920-ExportLdifToWizardPage-createControl, true, true, 7, 18
apache-directorystudio_r817075_20090920-ModWidget-createModSpec, false, false, 16, 66
apache-directorystudio_r817075_20090920-SyntaxDialog-SyntaxDialog, false, false, 0, 6
apache-directorystudio_r817075_20090920-TextFormatsPreferencePage-init, false, false, 0, 2
apache-directorystudio_r817075_20090920-MergeSchemasWizard-MergeSchemasWizard, false, false, 0, 0
apache-directorystudio_r817075_20090920-NewAttributeTypeMatchingRulesWizardPage-getSubstringMatchingRuleValue, false, false, 5, 20
apache-directorystudio_r817075_20090920-NewObjectClassContentWizardPage-createControl, false, false, 28, 146
apache-directorystudio_r817075_20090920-ExportSchemasForADSWizardPage-saveDialogSettings, false, false, 11, 12
apache-directorystudio_r817075_20090920-DeleteAction-getCommandId, true, false, 0, 3
apache-directorystudio_r817075_20090920-FetchOperationalAttributesAction-isEnabled, true, true, 6, 4
apache-directorystudio_r817075_20090920-BrowserViewActionProxy-BrowserViewActionProxy, false, false, 0, 3
apache-directorystudio_r817075_20090920-BrowserPreferences-isEntryAbbreviate, false, false, 3, 4
apache-directorystudio_r817075_20090920-BrowserContentProvider-BrowserContentProvider, false, false, 2, 10
apache-directorystudio_r817075_20090920-ImportExportAction-getEntry, false, true, 8, 17
apache-directorystudio_r817075_20090920-OpenSchemaBrowserAction-getText, true, false, 8, 34
apache-directorystudio_r817075_20090920-NewEntryAction-isEnabled, true, false, 0, 3
apache-directorystudio_r817075_20090920-NonExistingLdifEditorInput-hashCode, false, false, 1, 3
apache-directorystudio_r817075_20090920-LdifSourceViewerConfiguration-getContentAssistant, false, false, 14, 36
apache-directorystudio_r817075_20090920-AbstractConnectionParameterPage-validate, true, false, 0, 0
apache-directorystudio_r817075_20090920-2-partVisible, false, false, 0, 2
apache-directorystudio_r817075_20090920-CertificateTrustDialogBot-isIssuerUnkown, false, false, 1, 3
apache-directorystudio_r817075_20090920-NewConnectionWizardBot-deselectSavePassword, false, false, 2, 3
apache-directorystudio_r817075_20090920-EntryEditorTest-setUp, false, false, 3, 5
apache-directorystudio_r817075_20090920-NonExistingMatchingRuleError-toString, false, true, 3, 4
apache-directorystudio_r817075_20090920-TreeNode-removeChild, true, false, 0, 0
apache-directorystudio_r817075_20090920-DummyConnection-getReferralsHandlingMethod, true, false, 0, 3
apache-directorystudio_r817075_20090920-DelegateEntry-addChild, true, true, 3, 6
apache-directorystudio_r817075_20090920-BrowserConnection-setTimeLimit, true, false, 3, 4
apache-directorystudio_r817075_20090920-AbstractEntry-setAlias, true, false, 0, 10
apache-directorystudio_r817075_20090920-Bookmark-getAdapter, false, true, 10, 25
apache-directorystudio_r817075_20090920-RootDSE-getParententry, true, false, 0, 3
